450768,12
597287,13
159798,14
709197,17
420720,20
222148,47
177020,66
351882,107
1178902,190
152770,224
420102,246
369245,257
244913,265
1209182,291
417374,295
161859,380
333642,409
2237331,414
257115,418
423859,422
160676,528
280546,573
333794,586
1608511,633
416837,648
2238442,746
2094598,760
160229,761
2095408,765
1957242,767
419917,785
1957181,821
769353,849
423377,885
380764,897
254213,922
983272,929
2236912,939
2237255,949
177411,989
1218950,997
282066,1004
421971,1075
422715,1081
2241110,1084
1988979,1103
160770,1186
156762,1192
423041,1378
96320,1495
739439,1501
475437,1585
279889,1966
984591,1991
52179,2038
283171,2112
416909,2172
1209551,2187
911776,2355
159846,2372
154275,2391
984421,2426
1906644,2565
2103912,2627
1931979,2691
8487,2705
372537,2900
2127205,2984
1951937,2986
540471,3032
348107,3249
599273,3302
1906545,3382
2087794,3471
420433,3475
2087261,3476
870639,3526
473657,3715
416232,3839
266416,3840
870574,3860
280164,4488
256901,4558
418615,4791
792187,4816
229283,4833
283867,5017
598634,5215
343626,5242
245027,5334
124106,5374
422204,5471
1207619,5517
2237825,5525
1701291,5699
2083166,5702
2151397,5737
523755,5791
228505,5827
1210502,5841
